FOIA,NAID,RGN,"Civilian
/Miliatry",EN,CID,Stack Area,Row,Compartment,Shelf,Box,Title,Type,篩選（翻拍時間估計：箱/2hr.）,Note,,
已拍,"2739224
(FOIA)",33,,P 25,1,250,013,020,00,1,"Taiwan
Series: Country Files Pertaining to 4-H International Programs, ca. 1961 - 1992
Record Group 33: Records of the Extension Service, 1888 - 2000","需特別填寫FOIA表申請
；預先拍攝","
贊助國際青年交流計畫
一資料夾，量少",填申請單後約一週（時間長短不定）得到回覆，再填普通調閱單及即可調閱,,
已拍,"2739386
(FOIA)",33,,P 25,16,250,013,022,00,16,"Taiwan
Series: Country Files Pertaining to 4-H International Programs, ca. 1961 - 1992
Record Group 33: Records of the Extension Service, 1888 - 2000","需特別填寫FOIA表申請
；預先拍攝","贊助國際青年交流計畫
一資料夾，量多",,,
,"2815301
(FOIA)",33,,P 30,6,250,013,025,00,6,"Republic of China [Taiwan] ATP (ROCATP)
Series: Records Relating to 4-H International Agricultural Training Programs, ca. 1961 - 1995
Record Group 33: Records of the Extension Service, 1888 - 2000","需特別填寫FOIA表申請
；預先拍攝","農業訓練計畫
6,8,9 under FOIA",,,
,"2751706
(FOIA)",33,,P 30,6,250,013,025,00,6,"Republic of China [Taiwan] ATP (ROCATP)
Series: Records Relating to 4-H International Agricultural Training Programs, ca. 1961 - 1995
Record Group 33: Records of the Extension Service, 1888 - 2000","需特別填寫FOIA表申請
；預先拍攝",,,,
,"2751550
(FOIA)",33,,P 30,6,250,013,025,00,6,"Republic of China [Taiwan] ATP (ROCATP)
Series: Records Relating to 4-H International Agricultural Training Programs, ca. 1961 - 1995
Record Group 33: Records of the Extension Service, 1888 - 2000","需特別填寫FOIA表申請
；預先拍攝",,,,
5170799,"5648107
(FOIA)",306,,P 95,3,490,042,002,06,3,"Taiwan
Series: Country Files Related to Book Fairs, 1959 - 1966
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003","需特別填寫FOIA表申請
；預先拍攝",,,,
,,,,,,,,,,,,,,,,
Series,NAID,RGN,"Civilian
/Miliatry",EN,CID,Stack Area,Row,Compartment,Shelf,Box,Title,Type,篩選（翻拍時間估計：箱/2hr.）,Note,,
1756590,,84,,"

UD 3257
",,350,069,009,01-04,1-25,"General Records, 1941 - 1963
Taiwan (Formosa); U.S. Embassy and Consulate, Taipei (Taihoku)
Record Group 84: Records of the Foreign Service Posts of the Department of State, 
1788 - ca. 1991",,"1941-1963 台北州（Taihoku）美國領事館資料
戰後領事館重新運作

1-25箱全拍",,,
,,,,,,,,,,,,,,,,
1135609,,84,,UD 863,,350,043,028/02-030/03,,1-182,"United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 
1788 - ca. 1991",,"1-182本全拍
 
1887 - 1912 台北州（Taihoku）美國領事館紀錄","已調1-11
volumes not boxes (一車上限14-16本)       
",,
,1429246,84,,UD 863,180,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Register of Landing Certificates
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429245,84,,UD 863,179,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Ships Daily Journal
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429244,84,,UD 863,178,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Marine Extended Protest
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429243,84,,UD 863,177,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Marine Note of Protest
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429242,84,,UD 863,176,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Seamen's Register
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429240,84,,UD 863,174,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Registration of American Citizens
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429196,84,,UD 863,130,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] American Consulate General
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429192,84,,UD 863,126,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Charles L. Devault
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429154,84,,UD 863,88,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Record of Fees
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,1429152,84,,UD 863,86,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Confidential Files,,,,,
,1429151,84,,UD 863,85,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Confidential Files,,,,,
,1429149,84,,UD 863,83,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Japanese Clippings,,,,,
,1429148,84,,UD 863,82,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Clippings Pertaining to Japan,,,,,
,1429146,84,,UD 863,80,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Newspaper Clippings on Formosa,,,,,
,1429145,84,,UD 863,79,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Clippings,,,,,
,1429143,84,,UD 863,77,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Old Accounts,,,,,
,1429142,84,,UD 863,76,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Very Old Documents,,,,,
,1429141,84,,UD 863,75,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Very Old Miscellaneous Documents,,,,,
,1429140,84,,UD 863,74,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Invoice Book,,,,,
,1429139,84,,UD 863,73,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Visa of Chinese Certificates,,,,,
,1429135,84,,UD 863,69,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Register of Letters Sent,,,,,
,1429132,84,,UD 863,66,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Washington Despatches,,,,,
,1429129,84,,UD 863,63,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Department of State Despatches,,,,,
,1429128,84,,UD 863,62,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Department of State Sent,,,,,
,1429126,84,,UD 863,60,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Assistant Secretary of State,,,,,
,1429125,84,,UD 863,59,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Assistant Secretary of State,,,,,
,1429122,84,,UD 863,56,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Despatches Sent,,,,,
,1429119,84,,UD 863,53,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429118,84,,UD 863,52,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429117,84,,UD 863,51,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429116,84,,UD 863,50,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429115,84,,UD 863,49,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429114,84,,UD 863,48,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Sent,,,,,
,1429113,84,,UD 863,47,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Correspondence,,,,,
,1429112,84,,UD 863,46,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Correspondence,,,,,
,1429111,84,,UD 863,45,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Sanitary Report,,,,,
,1429110,84,,UD 863,44,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429109,84,,UD 863,43,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429108,84,,UD 863,42,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429107,84,,UD 863,41,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429106,84,,UD 863,40,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429105,84,,UD 863,39,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429104,84,,UD 863,38,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429103,84,,UD 863,37,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429102,84,,UD 863,36,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429100,84,,UD 863,35,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Letters Received,,,,,
,1429099,84,,UD 863,34,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires Sent,,,,,
,1429098,84,,UD 863,33,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires Sent,,,,,
,1429097,84,,UD 863,32,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Answer to Commercial Enquires,,,,,
,1429096,84,,UD 863,31,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Answer to Commercial Enquires,,,,,
,1429095,84,,UD 863,30,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous and Commercial Enquires,,,,,
,1429094,84,,UD 863,29,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires Received,,,,,
,1429093,84,,UD 863,28,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429092,84,,UD 863,27,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429091,84,,UD 863,26,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429090,84,,UD 863,25,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429089,84,,UD 863,24,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429088,84,,UD 863,23,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Commercial Enquires,,,,,
,1429087,84,,UD 863,22,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Japanese Government,,,,,
